celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score_norm,week1_judge2_score_norm,week1_judge3_score_norm,week1_judge4_score_norm,week2_judge1_score_norm,week2_judge2_score_norm,week2_judge3_score_norm,week2_judge4_score_norm,week3_judge1_score_norm,week3_judge2_score_norm,week3_judge3_score_norm,week3_judge4_score_norm,week4_judge1_score_norm,week4_judge2_score_norm,week4_judge3_score_norm,week4_judge4_score_norm,week5_judge1_score_norm,week5_judge2_score_norm,week5_judge3_score_norm,week5_judge4_score_norm,week6_judge1_score_norm,week6_judge2_score_norm,week6_judge3_score_norm,week6_judge4_score_norm,week7_judge1_score_norm,week7_judge2_score_norm,week7_judge3_score_norm,week7_judge4_score_norm,week8_judge1_score_norm,week8_judge2_score_norm,week8_judge3_score_norm,week8_judge4_score_norm,week9_judge1_score_norm,week9_judge2_score_norm,week9_judge3_score_norm,week9_judge4_score_norm,week10_judge1_score_norm,week10_judge2_score_norm,week10_judge3_score_norm,week10_judge4_score_norm,week11_judge1_score_norm,week11_judge2_score_norm,week11_judge3_score_norm,week11_judge4_score_norm,avg_judge_score,std_judge_score,min_judge_score,max_judge_score,score_range,score_trend,score_improvement,avg_judge_disagreement,max_judge_disagreement,performance_consistency,n_weeks_with_scores,total_judge_scores,score_trend_r2
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,-0.802308121,-1.352474836,-1.352474836,0,0,0,-0.955533086,0,-1.133342852,-1.834936046,-1.133342852,0,-1.524229596,-0.870988341,-1.524229596,0,-1.249390095,-1.249390095,-1.249390095,0,-1.747421019,-0.5679251,-1.747421019,0,-0.515710623,-0.515710623,-1.237705496,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.187574965,0.40387823,-1.834936046,-0.515710623,1.319225423,0.019946534,0.41271035,0.17411821,0.463736874,0.229023252,7,19,0.035398309
Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,1.581729306,1.581729306,1.581729306,0,-0.955533086,0,0,0,0.269843536,0.97143673,0.97143673,0,1.088735426,0.43549417,1.088735426,0,-0.078086881,-0.078086881,-0.078086881,0,1.004755782,1.594503741,1.594503741,0,0.928279122,0.928279122,1.650273994,0,-0.370999258,-0.370999258,0.423999152,0,0.202085242,0.202085242,0.202085242,0,0,0,0,0,,,,,0.654797123,0.746025433,-0.955533086,1.650273994,2.60580708,-0.026338335,-1.379644064,0.100835786,0.210674157,0.830313107,9,25,0.007546648
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,-0.618937555,-1.16910427,-1.16910427,0,-0.955533086,-0.955533086,-0.955533086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.970624226,0.201571525,-1.16910427,-0.618937555,0.550166715,0.030182279,0.030182279,0.050447236,0.100894471,0.021342094,2,6,1
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,-0.618937555,-1.16910427,-1.16910427,0,-0.955533086,-0.955533086,-0.955533086,0,-0.431749658,-1.834936046,-1.133342852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.024863768,0.393791842,-1.834936046,-0.431749658,1.403186388,-0.073813743,-0.147627487,0.19770916,0.49223301,0.09515002,3,9,0.601806252
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,Eliminated Week 1,15,-0.618937555,-1.719270985,-1.16910427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.16910427,0.550166715,-1.719270985,-0.618937555,1.10033343,0,0,0.302683414,0.302683414,0,1,3,0
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,1.031562591,1.581729306,1.031562591,0,1.911066172,1.911066172,1.911066172,0,0.97143673,-0.431749658,0.269843536,0,-0.870988341,-0.870988341,-0.870988341,0,-0.078086881,-0.078086881,-0.078086881,0,0.611570818,1.201318777,0.611570818,0,0.206284249,0.928279122,0.928279122,0,-1.165997668,-0.370999258,-0.370999258,0,0,0,0,0,0,0,0,0,,,,,0.413319361,0.945830747,-1.165997668,1.911066172,3.07706384,-0.198405718,-1.850950224,0.13668684,0.49223301,0.93576335,8,24,0.269728947
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,1.581729306,-0.068770839,1.581729306,0,1.911066172,1.911066172,1.911066172,0,2.374623118,0.269843536,2.374623118,0,1.741976681,0.43549417,1.741976681,0,1.093216333,1.093216333,1.093216333,0,0.808192787,0.218444828,1.397940746,0,0.206284249,-1.237705496,0.206284249,0,1.218997562,2.013995972,2.013995972,0,0.808113685,1.414142129,2.020352398,0,0.490294329,0.490294329,0.490294329,0,,,,,1.120199822,0.847721736,-1.237705496,2.374623118,3.612328614,-0.078783234,-0.541268262,0.457460774,1.47669903,0.658030638,10,30,0.131397414
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,1.031562591,0.481395876,1.031562591,0,0.955533086,1.911066172,0.955533086,0,0.269843536,0.269843536,0.269843536,0,0.43549417,0.43549417,0.43549417,0,2.264519547,1.093216333,2.264519547,0,0.415007823,0.415007823,0.415007823,0,0.206284249,0.206284249,0.928279122,0,-0.370999258,-1.165997668,-0.370999258,0,-1.616181914,-1.010153471,-1.010153471,0,0.891411413,0.891411413,0.891411413,0,,,,,0.460684741,0.906775373,-1.616181914,2.264519547,3.880701461,-0.139201415,0.043237727,0.136941588,0.457317073,0.884143737,10,30,0.227223366
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,0.664766442,1.214933157,1.214933157,0,-0.955533086,0,-0.955533086,0,0.269843536,-0.431749658,0.269843536,0,0.43549417,-0.217747085,0.43549417,0,-0.078086881,-0.078086881,-0.078086881,0,-0.5679251,-1.157673059,-0.5679251,0,0.206284249,0.206284249,0.928279122,0,-1.165997668,-0.370999258,0.423999152,0,-0.404125028,-0.404125028,-0.404125028,0,-1.214543537,-1.214543537,-1.716030152,0,,,,,-0.196989004,0.752753255,-1.716030152,1.214933157,2.930963309,-0.120564243,-2.413249994,0.141275868,0.632022472,0.709630606,10,29,0.264596325
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,-1.113299879,-1.113299879,-1.113299879,0,0.223606798,-0.447213595,-0.447213595,0,0.178318631,-0.585904072,0.178318631,0,-1.143206561,-1.143206561,-1.143206561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.639133877,0.571604352,-1.143206561,0.223606798,1.366813359,0.005746448,-0.029906682,0.086169695,0.19467878,0.568104971,4,12,0.000170526
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,-0.27832497,-0.27832497,-0.27832497,0,0.223606798,-0.447213595,0.223606798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.139162485,0.288512455,-0.447213595,0.223606798,0.670820393,0.27832497,0.27832497,0.075,0.15,0.196805474,2,6,1
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,0.556649939,-1.113299879,-0.27832497,0,0.223606798,0.223606798,0.223606798,0,0.178318631,0.178318631,0.178318631,0,-0.726090654,-0.726090654,-0.726090654,0,-0.791334302,-0.791334302,-0.791334302,0,-0.906080594,-0.906080594,-0.906080594,0,-0.427178829,-1.965022613,-1.965022613,0,-1.436529175,-1.436529175,-0.935414347,0,0,0,0,0,0,0,0,0,,,,,-0.627725501,0.699246503,-1.965022613,0.556649939,2.521672552,-0.221865201,-0.991165929,0.196151203,0.788321168,0.621339996,8,24,0.765016865
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,-1.113299879,-1.948274788,-1.113299879,0,-1.788854382,-1.788854382,-1.788854382,0,-1.350126776,-2.114349479,-2.114349479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.68002927,0.393057331,-2.114349479,-1.113299879,1.0010496,-0.233991865,-0.467983729,0.142357715,0.232394366,0.252258541,3,9,0.860418535
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,-0.27832497,-0.27832497,-0.27832497,0,-0.447213595,-1.118033989,-1.118033989,0,0.178318631,-0.585904072,0.178318631,0,0.525257069,-0.308974746,0.942372976,0,-0.791334302,-0.791334302,-0.791334302,0,0.268461364,0.268461364,0.268461364,0,-0.427178829,1.110664955,-0.427178829,0,-0.935414347,-0.935414347,-0.935414347,0,-1.717911381,-1.717911381,-0.780868809,0,0,0,0,0,,,,,-0.404596819,0.707362874,-1.717911381,1.110664955,2.828576336,-0.073765967,-1.127238887,0.203516607,0.788321168,0.624036564,9,27,0.104798066
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,1.391624848,0.556649939,1.391624848,0,0.894427191,0.894427191,0.894427191,0,1.706764037,0.942541334,1.706764037,0,1.776604791,0.942372976,1.776604791,0,1.173357758,1.173357758,1.173357758,0,-0.671129919,-0.671129919,-0.671129919,0,1.110664955,1.110664955,1.110664955,0,0.567930139,0.06681531,0.567930139,0,1.093216333,0.156173762,1.093216333,0,0.427646023,-1.175954408,-1.175954408,0,,,,,0.711151026,0.841208079,-1.175954408,1.776604791,2.952559199,-0.150612895,-1.754720809,0.189262045,0.857178114,0.787308096,10,30,0.335464306
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,0.556649939,-0.27832497,1.391624848,0,0.223606798,0.223606798,0.894427191,0,0.178318631,0.178318631,0.178318631,0,0.525257069,0.525257069,1.359488883,0,-0.136436949,-0.791334302,0.518460405,0,-0.201369513,-0.201369513,0.503341567,0,-0.427178829,-0.427178829,-0.427178829,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.207919273,0.57476173,-0.791334302,1.391624848,2.18295915,-0.146200026,-0.983828768,0.239084826,0.697183099,0.425560634,7,21,0.550780789
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,2.226599757,0.556649939,2.226599757,0,2.236067977,0.894427191,2.236067977,0,0.942541334,-0.585904072,1.706764037,0,1.359488883,0.942372976,1.359488883,0,1.828255112,1.173357758,1.828255112,0,1.677883525,0.268461364,2.382594605,0,1.110664955,1.110664955,1.110664955,0,1.570159796,1.069044968,1.570159796,0,1.093216333,0.156173762,1.093216333,0,0.908783878,0.908783878,1.710295469,0,,,,,1.28906004,0.677116398,-0.585904072,2.382594605,2.968498677,-0.051039905,-0.493995409,0.484259087,1.362751459,0.365702274,10,30,0.178556568
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,0.556649939,0.556649939,0.556649939,0,0.894427191,0.223606798,0.894427191,0,0.942541334,0.178318631,0.942541334,0,-0.308974746,-0.308974746,-0.308974746,0,-0.136436949,-0.136436949,0.518460405,0,1.443003321,0.033581161,1.443003321,0,-0.427178829,-0.427178829,-0.427178829,0,0.06681531,0.567930139,0.567930139,0,0.156173762,-0.780868809,0.156173762,0,0.106983662,-0.855292047,-0.855292047,0,,,,,0.194435992,0.625384982,-0.855292047,1.443003321,2.298295368,-0.100045037,-1.091183416,0.18348457,0.662156942,0.533069153,10,30,0.322875757
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,-0.27832497,-1.113299879,-1.113299879,0,-1.118033989,-1.118033989,-1.118033989,0,-1.350126776,-1.350126776,-1.350126776,0,-1.560322468,-1.143206561,-1.143206561,0,-1.446231656,-1.446231656,-1.446231656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.206322505,0.301171742,-1.560322468,-0.27832497,1.281997498,-0.13867247,-0.611256747,0.058077919,0.232394366,0.239632126,5,15,0.837202334
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,0.556649939,-0.27832497,0.556649939,0,-0.447213595,0.223606798,0.223606798,0,0.178318631,0.178318631,0.178318631,0,-0.308974746,-0.308974746,-0.726090654,0,0.518460405,-0.136436949,0.518460405,0,-1.140960797,-1.140960797,-1.140960797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.138694882,0.590416269,-1.140960797,0.556649939,1.697610736,-0.1949222,-1.419285766,0.097225518,0.232394366,0.563284836,6,18,0.419116281
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,-1.134921428,-1.134921428,-1.134921428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.134921428,0,-1.134921428,-1.134921428,0,0,0,0,0,0,1,3,0
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,-0.265619909,-0.265619909,-0.265619909,0,0.271964147,-0.625517537,-0.625517537,0,-0.401931252,-1.498107395,-0.401931252,0,-0.446057505,-0.446057505,-0.800279641,0,-0.56225353,-0.56225353,-0.56225353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.497137053,0.369863331,-1.498107395,0.271964147,1.770071542,-0.083104182,-0.296633621,0.142169922,0.400534045,0.202789946,5,15,0.419848807
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,1.47298313,0.603681611,1.47298313,0,1.16944583,0.271964147,0.271964147,0,0.69424489,-0.401931252,0.69424489,0,0.262386768,-0.091835369,-0.091835369,0,0.401609664,-2.48997992,-0.56225353,0,0.351364488,-0.386500937,0.351364488,0,0.658426922,-0.395056153,-1.448539228,-1.448539228,0.845154255,0.211288564,0.845154255,0,1,-1,1,0,0.1714774,-0.857541347,0.1714774,0,,,,,0.120877537,0.896378432,-2.48997992,1.47298313,3.96296305,-0.081195302,-1.354744806,0.614953119,2.167741936,0.613456089,10,31,0.160585481
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,1.47298313,1.47298313,1.47298313,0,1.16944583,1.16944583,1.16944583,0,0.69424489,0.69424489,0.69424489,0,2.033497449,1.679275313,2.033497449,0,0.401609664,0.401609664,1.365472859,0,-0.632431483,0.105433942,0.105433942,0,1.711909997,0.658426922,0.658426922,0.658426922,0.845154255,0.845154255,0.845154255,0,1,1,1,0,1.200496148,1.200496148,1.200496148,0,,,,,0.978308462,0.571115807,-0.632431483,2.033497449,2.665928932,-0.040777288,-0.272486982,0.08104403,0.30967742,0.540355191,10,31,0.052202279
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,1.47298313,0.603681611,0.603681611,0,0.271964147,0.271964147,0.271964147,0,0.69424489,0.69424489,0.69424489,0,-0.446057505,0.262386768,-0.091835369,0,0.401609664,0.401609664,0.401609664,0,0.105433942,0.105433942,0.105433942,0,0.658426922,-0.395056153,-0.395056153,-0.395056153,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.286266211,0.460781013,-0.446057505,1.47298313,1.919040635,-0.132182076,-1.025134168,0.09354643,0.277456647,0.386479373,7,22,0.545882636
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,0.603681611,-1.134921428,0.603681611,0,0.271964147,0.271964147,0.271964147,0,0.69424489,0.69424489,-0.401931252,0,-0.446057505,-0.800279641,-0.800279641,0,0.401609664,0.401609664,0.401609664,0,-1.862231787,-1.862231787,-1.862231787,0,1.711909997,-0.395056153,-0.395056153,-0.395056153,-1.056442818,-1.056442818,-1.056442818,0,0,0,0,0,0,0,0,0,,,,,-0.287847092,0.92212206,-1.862231787,1.711909997,3.574141784,-0.16374956,-1.080590083,0.319970656,1.109826589,0.816342599,8,25,0.241416313
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,-1.134921428,-1.134921428,-1.134921428,0,-0.625517537,-0.625517537,-0.625517537,0,-1.498107395,-1.498107395,-1.498107395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.08618212,0.379606611,-1.498107395,-0.625517537,0.872589858,-0.181592983,-0.363185967,0,0,0.438331958,3,9,0.171629469
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,-0.265619909,-1.134921428,-1.134921428,0,-2.420480905,-1.522999221,-3.317962589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.63281758,1.080483032,-3.317962589,-0.265619909,3.05234268,-1.57532665,-1.57532665,0.528684208,0.805473373,1.113924157,2,6,1
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,0.603681611,1.47298313,1.47298313,0,0.271964147,0.271964147,0.271964147,0,0.69424489,0.69424489,0.69424489,0,0.97083104,0.97083104,0.97083104,0,1.365472859,1.365472859,1.365472859,0,1.089229913,1.827095338,1.827095338,0,0.658426922,0.658426922,1.711909997,0.658426922,0.211288564,0.845154255,1.479019946,0,0,0,0,0,0,0,0,0,,,,,0.976930432,0.49889423,0.211288564,1.827095338,1.615806774,0.046881709,-0.338061702,0.1390774,0.401785714,0.406356022,8,25,0.079862834
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,-1.134921428,-1.134921428,-1.134921428,0,-0.625517537,-0.625517537,-0.625517537,0,-0.401931252,-1.498107395,-0.401931252,0,-1.154501778,-1.508723914,-1.508723914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.979603033,0.423758567,-1.508723914,-0.401931252,1.106792662,-0.090899108,-0.255728441,0.110589622,0.400534045,0.348100813,4,12,0.113646986
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,-0.265619909,0.603681611,-0.265619909,0,1.16944583,1.16944583,0.271964147,0,0.69424489,1.790421033,1.790421033,0,0.97083104,0.616608904,0.616608904,0,-0.56225353,0.401609664,0.401609664,0,0.597295034,0.597295034,0.597295034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.621960239,0.625760709,-0.56225353,1.790421033,2.352674563,-0.005557063,0.57314777,0.212070345,0.400534045,0.523574621,6,18,0.000394277
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,-0.265619909,-0.265619909,-0.265619909,0,0.271964147,1.16944583,0.271964147,0,-1.498107395,-1.498107395,-0.401931252,0,-1.154501778,-0.800279641,-0.800279641,0,-1.526116725,-1.526116725,-1.526116725,0,-0.140570391,-0.878435816,-0.140570391,0,-0.395056153,-1.448539228,-1.448539228,-1.448539228,-1.690308509,-1.056442818,-1.056442818,0,-2,-1,-1,0,-1.371973549,-0.342954801,-1.371973549,0,,,,,-0.858238366,0.715962243,-2,1.16944583,3.16944583,-0.124468279,-0.763347391,0.199000982,0.400534045,0.638578736,10,31,0.348257041
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,1.521217461,1.521217461,1.521217461,0,0.491869377,0.491869377,0.491869377,0,-0.134534559,-0.134534559,-0.134534559,0,0.427178829,0.427178829,1.580561667,0,-0.102597835,-1.333771858,-1.333771858,0,-0.722315119,-0.722315119,-0.722315119,0,2.162273118,1.218735758,-0.668338964,0.275198397,-2.055270768,-2.055270768,-1.174440439,0,-1.157940709,-1.157940709,-1.157940709,0,0,0,0,0,,,,,-0.094194519,1.154764305,-2.055270768,2.162273118,4.217543886,-0.287469573,-2.67915817,0.299009529,1.483771252,1.087893127,9,28,0.523687933
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,0.640512615,0.640512615,0.640512615,0,-0.590243252,-1.672355881,0.491869377,0,-0.134534559,0.874474632,0.874474632,0,1.580561667,0.427178829,1.580561667,0,1.128576187,-0.102597835,1.128576187,0,1.805787796,0.541736339,0.541736339,0,0.275198397,1.218735758,-0.668338964,0.275198397,0.58722022,0.58722022,1.468050549,0,1.427229246,1.427229246,1.750375491,0,1.016034196,-0.127132855,1.016034196,0,,,,,0.666141744,0.777618698,-1.672355881,1.805787796,3.478143677,0.084982812,-0.005534103,0.431418409,1.170967742,0.56963007,10,31,0.204027082
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,1.521217461,0.640512615,1.521217461,0,0.491869377,-0.590243252,0.491869377,0,-0.134534559,-0.134534559,-0.134534559,0,-0.726204009,-0.726204009,0.427178829,0,-0.102597835,-1.333771858,-0.102597835,0,-0.722315119,0.541736339,0.541736339,0,0.275198397,-1.611876325,-1.611876325,0.275198397,-0.29361011,0.58722022,0.58722022,0,-0.51164822,-0.51164822,-0.51164822,0,-1.269957024,-1.269957024,-1.269957024,0,,,,,-0.182823905,0.832308504,-1.611876325,1.521217461,3.133093786,-0.152629326,-2.497606203,0.357580979,1.187017002,0.672196632,10,31,0.472601124
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,0.640512615,0.640512615,0.640512615,0,1.573982006,0.491869377,1.573982006,0,1.883483823,0.874474632,0.874474632,0,1.580561667,0.427178829,0.427178829,0,1.128576187,1.128576187,1.128576187,0,0.541736339,0.541736339,0.541736339,0,0.275198397,0.275198397,0.275198397,2.162273118,0.58722022,0.58722022,0.58722022,0,0.134644269,0.134644269,0.134644269,0,1.016034196,-0.127132855,1.016034196,0,,,,,0.764453501,0.548493088,-0.127132855,2.162273118,2.289405973,-0.069691234,-0.005534103,0.249899281,0.890262751,0.340847294,10,31,0.383219895
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,-0.240192231,-1.120897077,-0.240192231,0,-0.590243252,-1.672355881,-0.590243252,0,-0.134534559,-1.14354375,-0.134534559,0,-0.726204009,-0.726204009,-0.726204009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.670445735,0.466844499,-1.672355881,-0.134534559,1.537821322,-0.009725398,-0.192443496,0.247059026,0.390322581,0.216258446,4,12,0.003370679
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,0.640512615,-0.240192231,-0.240192231,0,1.573982006,0.491869377,1.573982006,0,-0.134534559,-0.134534559,-0.134534559,0,0.427178829,-0.726204009,0.427178829,0,1.128576187,-0.102597835,1.128576187,0,-1.986366576,-0.722315119,-1.986366576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.054667655,1.01709488,-1.986366576,1.573982006,3.560348582,-0.26857106,-1.618392141,0.355028683,0.532608695,0.942544418,6,18,0.284173006
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,-0.240192231,-0.240192231,-0.240192231,0,-0.590243252,-0.590243252,-0.590243252,0,0.874474632,1.883483823,0.874474632,0,0.427178829,-0.726204009,0.427178829,0,-1.333771858,-1.333771858,-0.102597835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.100057418,0.870375363,-1.333771858,1.883483823,3.217255681,-0.073341544,-0.683188286,0.257612066,0.505263158,0.818006986,5,15,0.020096761
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,-1.120897077,-2.001601923,-2.001601923,0,-0.590243252,-1.672355881,-0.590243252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.329490551,0.656887875,-2.001601923,-0.590243252,1.411358671,0.757086179,0.757086179,0.324434795,0.390322581,0.535340771,2,6,1
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,0.640512615,-0.240192231,-0.240192231,0,0.491869377,1.573982006,1.573982006,0,-0.134534559,-1.14354375,-0.134534559,0,-0.726204009,0.427178829,0.427178829,0,1.128576187,-0.102597835,1.128576187,0,1.805787796,0.541736339,0.541736339,0,-0.668338964,0.275198397,-1.611876325,-0.668338964,-0.29361011,0.58722022,-0.29361011,0,0,0,0,0,0,0,0,0,,,,,0.195438459,0.853764536,-1.611876325,1.805787796,3.417664121,-0.057194951,-0.053376051,0.415208476,0.593508501,0.671880434,8,25,0.04347931
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,Eliminated Week 3,10,-1.120897077,-2.001601923,-1.120897077,0,-0.590243252,-1.672355881,-0.590243252,0,-2.152552941,-2.152552941,-2.152552941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.505988587,0.661552816,-2.152552941,-0.590243252,1.562309689,-0.369043791,-0.738087582,0.216289863,0.390322581,0.606008505,3,9,0.370850072
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,Eliminated Week 7,6,-0.240192231,-0.240192231,-0.240192231,0,0.491869377,-0.590243252,-0.590243252,0,0.874474632,-0.134534559,0.874474632,0,-1.879586847,-1.879586847,-1.879586847,0,-0.102597835,-1.333771858,-1.333771858,0,-0.722315119,-0.722315119,0.541736339,0,-0.668338964,-0.668338964,-0.668338964,0.275198397,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.492563345,0.823505007,-1.879586847,0.874474632,2.754061479,-0.077898468,-0.192262393,0.284303806,0.532608696,0.746650534,7,22,0.05079604
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,Eliminated Week 2,11,-1.073930965,-1.073930965,-1.073930965,0,0.327692768,0.327692768,0.327692768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.373119099,0.767700936,-1.073930965,0.327692768,1.401623733,1.401623733,1.401623733,0,0,0.991097646,2,6,1
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,Eliminated Week 7,6,-0.029025161,-0.029025161,-0.029025161,0,-1.024039901,-1.024039901,-1.024039901,0,0.11496025,0.11496025,0.11496025,0,0.268437746,-0.766964989,0.268437746,0,0.176776695,1.237436867,0.176776695,0,0.070977344,-0.674284769,0.070977344,0,-0.242535625,-1.115663875,-0.242535625,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.170784709,0.580035506,-1.115663875,1.237436867,2.353100742,0.021246546,-0.504553214,0.167372732,0.375,0.493603839,7,21,0.008646222
