celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,elimination_week,relative_progress,placement_percentile,eliminated_in_multi_week,n_eliminated_same_week,is_finalist,n_zero_eliminate_weeks_experienced,n_multi_eliminate_weeks_experienced,avg_judge_score,std_judge_score,max_judge_score,score_trend,score_improvement,avg_judge_disagreement,performance_consistency
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,11,2,0.2,0.0909,0,1,0,1,0,-1.329490551,0.656887875,-0.590243252,0.757086179,0.757086179,0.324434795,0.535340771
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,5,8,0.8,0.6364,0,1,0,1,0,0.195438459,0.853764536,1.805787796,-0.057194951,-0.053376051,0.415208476,0.671880434
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,10,3,0.3,0.1818,0,1,0,1,0,-1.505988587,0.661552816,-0.590243252,-0.369043791,-0.738087582,0.216289863,0.606008505
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,6,7,0.7,0.5455,0,1,0,1,0,-0.492563345,0.823505007,0.874474632,-0.077898468,-0.192262393,0.284303806,0.746650534
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,11,2,0.2,0.1667,0,1,0,0,0,-0.373119099,0.767700936,0.327692768,1.401623733,1.401623733,0,0.991097646
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,6,7,0.7,0.5833,0,1,0,0,0,-0.170784709,0.580035506,1.237436867,0.021246546,-0.504553214,0.167372732,0.493603839
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3,10,1,0.8333,0,0,1,0,0,0.852092758,0.794088124,2.339243216,-0.111762433,-1.100515629,0.193676701,0.730630588
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1,10,1,1,0,0,1,0,0,0.77797113,1.008916142,2.298097039,-0.1286248,-1.364269181,0.708683933,0.753897601
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,12,1,0.1,0.0833,0,1,0,0,0,-1.422232899,0.603276647,-1.073930965,0,0,0.363942712,0
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,4,9,0.9,0.75,0,1,0,0,0,-0.104551649,0.765397488,1.015880642,-0.142753783,-2.414801432,0.128843617,0.733498497
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,9,4,0.4,0.3333,0,1,0,0,0,0.451568068,0.91264901,2.060786446,-0.583977355,-2.131147566,0.201117837,0.916106961
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,10,3,0.3,0.25,0,1,0,0,0,0.404169116,0.574282901,1.679425437,-0.102158262,-0.204316523,0.324334372,0.339705896
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,8,5,0.5,0.4167,0,1,0,0,0,-0.874539414,0.691497562,0.11496025,-0.251538566,-1.213663162,0.307364858,0.549296194
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,7,6,0.6,0.5,0,1,0,0,0,-1.143027324,0.698129219,-0.029025161,-0.02227182,-0.793799082,0.193023609,0.630832868
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,5,8,0.8,0.6667,0,1,0,0,0,-0.695978342,0.828615639,1.679425437,-0.1256508,-0.776594841,0.435866644,0.648001429
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2,10,1,0.9167,0,0,1,0,0,0.178419815,0.579807166,1.503720875,0.075225582,1.158652555,0.174231299,0.481682551
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3,10,1,0.8333,0,0,1,1,1,0.501283213,0.850450814,2.30632802,-0.078210032,-0.892804484,0.58658157,0.585095739
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,11,3,0.3,0.1667,0,1,0,1,0,-0.32405095,0.553474372,0.625543242,-0.47326969,-0.94653938,0.173913043,0.484285174
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,10,4,0.4,0.25,0,1,0,1,0,-0.313922864,0.659657458,0.625543242,-0.427116883,-1.116959795,0.203655122,0.592301219
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,7,7,0.7,0.5,0,1,0,1,0,0.130165803,0.898424629,1.876629727,-0.120784222,-1.850035304,0.407142684,0.761699076
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,6,8,0.8,0.5833,1,2,0,1,0,0.245161139,0.878484222,1.461412135,-0.083473975,0.260006871,0.533265748,0.662521955
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,5,8,0.8,0.6667,1,2,0,1,0,-0.893892961,0.488021463,0.276483377,-0.044108607,-0.050644263,0.188340572,0.342563492
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,12,2,0.2,0.0833,0,1,0,1,0,-1.367513956,0.672720499,-0.625543242,-0.649883772,-0.649883772,0.407310243,0.459537222
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1,10,1,1,0,0,1,1,1,0.234474772,0.848004479,1.461412135,-0.040495288,0.358282,0.601663562,0.571578875
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,9,5,0.5,0.3333,0,1,0,1,0,-0.792397897,0.676959391,0.276483377,-0.083122099,-0.577685207,0.243372131,0.57605808
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,8,6,0.6,0.4167,0,1,0,1,0,-0.894032445,0.801482991,0.625543242,-0.260977206,-1.877384636,0.398064346,0.639979301
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2,10,1,0.9167,0,0,1,1,1,0.754378621,0.885439629,2.30632802,-0.174405001,-0.925078415,0.360764815,0.758184978
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,4,9,0.9,0.75,0,1,0,1,1,0.40737603,1.006842654,2.069302345,0.016573506,1.353150117,0.77163649,0.720751303
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,6,8,0.8,0.6154,1,2,0,2,1,0.524792362,0.708256089,1.381402058,-0.18837236,-0.827126668,0.088651702,0.690512871
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,8,6,0.6,0.4615,0,1,0,1,1,0.675316118,0.597866517,1.85996222,0.040008722,0.458590393,0.044407136,0.589219883
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,7,8,0.8,0.5385,1,2,0,2,1,-1.291230806,0.611059943,0.150755672,-0.096605756,-0.721455849,0.15839945,0.53915
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3,10,1,0.8462,0,0,1,2,3,-0.14596131,0.853357013,1.164964745,-0.066898011,-0.180633146,0.166672829,0.813612279
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,5,9,0.9,0.6923,1,2,0,2,2,0.269549529,0.663621874,1.172438091,-0.00531224,0.013537585,0.319832993,0.481828674
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,4,9,0.9,0.7692,1,2,0,2,2,-0.036998325,0.839697962,2.051153887,-0.160006089,-2.640075035,0.229873644,0.787483572
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2,10,1,0.9231,0,0,1,2,3,0.488352323,1.137177308,2.176644655,-0.091004331,-1.041068536,1.285070196,0.678681236
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,13,1,0.1,0.0769,0,1,0,0,0,-2.06980074,0.41986487,-1.584982549,0,0,0.176286509,0
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,10,3,0.3,0.3077,1,2,0,0,0,0.088388652,0.29887816,0.596699313,0.020701857,0.041403714,0.112816224,0.079296798
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,12,2,0.2,0.1538,0,1,0,0,0,-0.302716174,0.276462968,-0.130527975,0.140441794,0.140441794,0.088143254,0.099307345
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,11,3,0.3,0.2308,1,2,0,0,0,-0.32633641,0.474915068,0.596699313,-0.485138098,-0.970276196,0.05876217,0.49189795
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,9,4,0.4,0.3846,0,1,0,0,1,-1.535872757,0.579398499,-0.857755262,-0.0577854,-0.344243931,1.85E-32,0.65892763
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1,10,1,1,0,0,1,2,3,0.623805634,0.489741314,1.579230879,0.071807878,0.886058318,0.09421267,0.435720741
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,5,9,0.9,0.6667,0,1,0,1,0,-0.340517117,0.625752974,0.654476952,-0.170048007,-1.938219733,0.124873697,0.574927889
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2,10,1,0.9167,0,0,1,1,0,1.016600881,0.63812706,1.810714921,-0.14563305,-0.846829633,0.106960343,0.598447724
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,12,2,0.2,0.0833,0,1,0,1,0,-0.397047493,1.151887316,0.654476952,-2.103048889,-2.103048889,3.70E-32,1.487080131
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,8,6,0.6,0.4167,0,1,0,1,0,-0.668539643,0.69635044,0.71265473,-0.210685023,-1.145371309,0.059149558,0.708687623
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,4,10,1,0.75,0,0,1,1,0,0.743241143,0.588958876,1.462124888,-0.052027966,-0.931788649,0.197935063,0.475340147
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3,10,1,0.8333,0,0,1,1,0,0.263680359,0.774348689,1.253227833,-0.140704826,-1.699791073,0.113744612,0.748182208
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,9,5,0.5,0.3333,0,1,0,1,0,-1.370229552,0.705430136,-0.429197538,0.283238066,1.042306751,0.088103955,0.712144877
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,7,7,0.7,0.5,0,1,0,1,0,-0.909233907,0.653478706,0.181071492,-0.20779664,-1.259213962,0.120272626,0.617201192
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,11,3,0.3,0.1667,0,1,0,1,0,-0.907946498,0.619785407,-0.369921756,-0.67512288,-1.35024576,1.54E-33,0.715666543
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1,10,1,1,0,0,1,1,0,0.916440023,0.559627652,2.100143021,-0.055468766,0.177569075,0.2656902,0.373596443
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,10,4,0.4,0.25,0,1,0,1,0,-0.612716136,0.485987152,-0.098286019,-0.240149017,-0.978984791,1.96E-32,0.537279012
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,6,8,0.8,0.5833,0,1,0,1,0,-0.392393503,0.635893937,0.654476952,-0.153845809,-1.638317555,0.123594122,0.59051226
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,10,4,0.3636,0.25,0,1,0,1,0,-1.256456495,0.86397753,-0.094702745,-0.663506006,-1.919293227,0.130145438,0.892553478
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,7,8,0.7273,0.5,0,1,0,2,0,0.237554468,0.63470509,1.366749736,-0.012427824,-0.374042725,0.110340112,0.597619121
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,6,9,0.8182,0.5833,0,1,0,2,0,0.389510366,0.801122368,1.556801569,-0.136095915,-0.087143558,0.188666209,0.744164283
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,5,10,0.9091,0.6667,0,1,0,2,0,-0.224724089,0.721275898,1.107823419,-0.052568288,-0.621045173,0.143542969,0.677828773
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2,11,1,0.9167,0,0,1,2,0,0.774086133,0.600651375,1.60422237,-0.021161405,-0.280677241,0.167146749,0.520996043
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1,11,1,1,0,0,1,2,0,0.759574292,0.849303378,1.698041841,-0.011291618,-0.369743862,0.528706532,0.627212141
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,12,2,0.1818,0.0833,0,1,0,1,0,-1.286603,0.317100827,-0.947027448,-0.110934636,-0.110934636,0.121076233,0.078442633
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,4,11,1,0.75,0,0,1,2,0,-1.150139136,0.650076945,0.216131448,-0.137823796,-0.483944079,0.070248741,0.64080076
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,9,5,0.4545,0.3333,0,1,0,1,0,0.546331916,0.54728205,1.60422237,0.037296844,0.589788233,0.254647684,0.370446819
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,17,8,7,0.6364,0.4167,0,1,0,2,0,0.096676027,0.526778592,1.008613423,-0.023814413,-0.898164014,0.108962031,0.472842778
Jack Osbourne,Cheryl Burke,TV Personality,,England,27,17,3,11,1,0.8333,0,0,1,2,0,0.212202961,0.567083758,1.428369157,-0.015004122,-0.759689713,0.156473795,0.485900128
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,11,3,0.2727,0.1667,0,1,0,1,0,-1.8815938,0.473057624,-1.342070318,0.093153282,0.186306564,0.25424474,0.210079224
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,10,2,0.2,0.25,1,2,0,0,0,-2.245650464,0.128207088,-2.12861394,-0.234073048,-0.234073048,0,0.16551464
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,6,8,0.8,0.5833,0,1,0,2,1,0.315871834,0.556552455,1.199269366,-0.078219032,-0.54473746,0.19078978,0.405302388
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,4,10,1,0.75,0,0,1,2,1,0.1780211,0.812858289,1.585093802,-0.080142484,0.463212718,0.399417346,0.604588985
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3,10,1,0.8333,0,0,1,2,1,-0.654897773,0.900487962,1.609439808,-0.147982098,-2.615191762,0.274120631,0.832508007
Sean Avery,Karina Smirnoff,Athlete,,Canada,33,18,11,2,0.2,0.1667,1,2,0,0,0,-0.479944069,0.355543926,-0.259587066,0.182294952,0.182294952,0.145552561,0.128901997
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,12,1,0.1,0.0833,0,1,0,0,0,-1.194100503,0,-1.194100503,0,0,0,0
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,5,9,0.9,0.6667,0,1,0,2,1,0.414072788,0.825211691,1.609439808,-0.136265954,-1.729825661,0.517917547,0.596819225
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2,10,1,0.9167,0,0,1,2,1,0.578317461,0.463745139,1.546198072,0.01187465,-0.064171567,0.212642972,0.203951901
Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,18,1,10,1,1,0,0,1,2,1,0.890314784,0.89605035,2.110579412,-0.054354438,0.139454085,0.334374503,0.731246469
Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,18,8,6,0.6,0.4167,0,1,0,2,1,-0.958151442,0.973704168,0.904534034,-0.226754324,-0.79833793,0.347475077,0.848549279
Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,18,9,5,0.5,0.3333,0,1,0,2,1,-0.214656879,0.627528094,0.674926371,-0.16569537,-0.556872936,0.370587153,0.338895148
NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,18,7,7,0.7,0.5,0,1,0,2,1,-0.591175449,0.663420932,0.244136538,-0.080990995,-0.942401336,0.263170556,0.483792604
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,8,7,0.6364,0.4615,0,1,0,1,0,-0.593904683,0.581901959,0.562073743,-0.102322629,-0.147134204,0.167616501,0.469763578
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,9,6,0.5455,0.3846,0,1,0,1,0,-0.379514743,0.683746275,0.715281698,-0.178414462,-0.434892838,0.123250233,0.653230514
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,6,9,0.8182,0.6154,0,1,0,1,0,0.448955389,0.761315854,1.788416456,-0.146945104,-0.903425872,0.121575957,0.728944297
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3,11,1,0.8462,0,0,1,1,0,0.681907091,0.677857007,1.788416456,-0.038254202,-0.179948095,0.247766472,0.538093433
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1,11,1,1,0,0,1,1,0,0.874405665,0.551523589,1.906519817,-0.020137359,-0.476706501,0.068108597,0.52038644
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,13,1,0.0909,0.0769,0,1,0,0,0,-1.398050591,0.488053187,-0.975384133,0,0,0.238195913,0
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,11,3,0.2727,0.2308,0,1,0,0,0,-0.484604881,0.848142147,0.715281698,-0.898721306,-1.797442612,0.139724569,0.912090661
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,5,10,0.9091,0.6923,0,1,0,1,0,-0.921375529,0.749185951,1.679611797,-0.183729648,-1.517954914,0.138350221,0.701969399
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,10,4,0.3636,0.3077,0,1,0,0,0,-0.979124298,0.721889382,0.830152957,0.334869976,1.113610268,0.285625543,0.572829405
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,7,8,0.7273,0.5385,0,1,0,1,0,-1.258362492,0.509834255,-0.130051218,-0.037921438,-0.840441581,0.093516312,0.45565763
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,12,2,0.1818,0.1538,0,1,0,0,0,-0.291493479,0.485155841,0.715281698,-0.74555098,-0.74555098,0.089323467,0.527184154
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,4,11,1,0.7692,0,0,1,1,0,0.661506174,0.812220512,1.842618776,-0.128498113,-1.996049041,0.068182084,0.780199282
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2,11,1,0.9231,0,0,1,1,0,0.430244682,0.658822249,1.906519817,-0.057952056,-0.84242284,0.275279207,0.489382179
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,9,5,0.5,0.3333,0,1,0,1,0,-0.626807577,0.411610348,0.425685393,-0.12276593,-0.181924183,0.099667972,0.328254751
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,7,7,0.7,0.5,0,1,0,1,0,0.631925641,0.72025113,1.866272257,0.081400144,1.091226365,0.247262002,0.606013737
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2,10,1,0.9167,0,0,1,1,1,0.861850208,0.636666695,2.098077515,-0.044948196,-0.569949397,0.366088964,0.366127096
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1,10,1,1,0,0,1,1,1,0.720125335,0.737673538,1.583611922,-0.102759462,-0.853739659,0.296561021,0.585128121
Nastia Liukin,Derek Hough,Athlete,,Russia,25,20,4,9,0.9,0.75,0,1,0,1,1,0.970396579,0.574122303,1.977814142,-0.057377963,-0.218669247,0.331323248,0.28454168
Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,20,10,4,0.4,0.25,0,1,0,1,0,-0.488710431,0.506270366,0.425685393,-0.211953787,-0.480195621,0.18994189,0.361172001
Robert Herjavec,Kym Johnson,Entrepreneur,,Croatia,52,20,6,8,0.8,0.5833,1,2,0,1,0,-0.483370254,0.778239947,0.870927053,-0.240642822,-1.490266688,0.150461067,0.735922994
Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,20,11,3,0.3,0.1667,0,1,0,1,0,-1.148702073,0.597221008,-0.255952418,-0.038799902,-0.077599803,0.360087523,0.292107546
Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,20,3,10,1,0.8333,0,0,1,1,1,-0.49326974,0.726769607,1.401138888,-0.1299511,-1.272318431,0.222913152,0.621650443
Redfoo,Emma Slater,Singer/Rapper,California,United States,39,20,12,2,0.2,0.0833,0,1,0,1,0,-0.347673068,1.142315038,0.860930862,1.858766221,1.858766221,0.370693633,1.314346199
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,20,8,6,0.6,0.4167,0,1,0,1,0,-0.677691613,0.572920382,0.425685393,-0.052627186,-0.198067382,0.260091189,0.378670515
Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,20,5,8,0.8,0.6667,1,2,0,1,0,-0.860082882,0.851196508,0.425685393,0.002705802,-0.672196447,0.293062404,0.742272155
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,10,4,0.3636,0.3077,0,1,0,2,1,-1.338649975,0.451049465,-0.512989176,-0.249470432,-0.933458776,0.088863368,0.410177585
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,21,6,9,0.8182,0.6154,1,2,0,3,1,0.37149478,0.878638973,1.310464128,-0.053673313,0.593332856,0.157757492,0.82829897
Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,21,4,11,1,0.7692,0,0,1,4,2,0.519033102,0.616804267,2.254885151,-0.013418461,-0.281638144,0.370692037,0.371594759
Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,21,12,2,0.1818,0.1538,1,3,0,1,0,-0.866258958,0.380172679,-0.435396774,0.19582342,0.19582342,0.166284028,0.138468068
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,21,3,11,1,0.8462,0,0,1,4,2,-0.457944683,0.832796217,1.128576187,-0.2068078,-2.363144336,0.174033149,0.789158762
Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,21,13,2,0.1818,0.0769,1,3,0,1,0,-1.676817173,0.376156554,-0.964170668,-0.513713471,-0.513713471,0.077904118,0.363250279
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,7,8,0.7273,0.5385,0,1,0,3,1,0.137823533,0.719216075,0.912836494,-0.089066106,-1.657055729,0.182063162,0.669352937
Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,21,5,9,0.8182,0.6923,1,2,0,3,1,0.177445285,0.924922524,1.562306072,-0.241885357,-2.241405297,0.119728182,0.925024187
Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,21,2,11,1,0.9231,0,0,1,4,2,0.493774462,0.815773593,1.784309118,-0.11130041,-0.509533029,0.040958809,0.848491324
Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,21,8,7,0.6364,0.4615,0,1,0,3,1,0.058670391,0.65758041,1.06288036,-0.100909125,-0.047164145,0.194738089,0.56766791
Bindi Irwin,Derek Hough,TV Personality,,Australia,17,21,1,11,1,1,0,0,1,4,2,0.828773021,0.466458295,2.254885151,-0.016245001,-0.509533029,0.124071305,0.384025219
Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,21,11,2,0.1818,0.2308,1,3,0,1,0,-1.208101286,0.51508945,-0.435396774,0.879508074,0.879508074,0.041571007,0.621906123
Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,21,9,6,0.5455,0.3846,0,1,0,3,1,-1.499947859,0.529526255,-0.435396774,-0.171484626,-0.919768478,0.049377476,0.527107611
Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,22,11,3,0.3,0.1667,0,1,0,1,0,-1.36500757,0.333249065,-0.501280412,-0.243538594,-0.487077189,0.082051282,0.256947408
Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,22,8,7,0.7,0.4167,1,2,0,2,0,-0.252615806,0.677708827,1.080865038,-0.12658785,-0.697154729,0.43640953,0.358801852
Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,22,6,8,0.8,0.5833,0,1,0,2,1,0.093326496,1.001409163,1.371988681,-0.016481974,0.829543626,0.422062665,0.84931597
Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,22,9,6,0.6,0.3333,0,1,0,2,0,-1.063729099,0.766559427,0.417028828,-0.151131146,-0.338793402,0.145868172,0.755034739
Von Miller,Witney Carson,Athlete,Texas,United States,27,22,7,7,0.7,0.5,1,2,0,2,0,-0.244592776,0.608019471,1.217395286,-0.138978149,-0.983600679,0.342873654,0.405636173
Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,22,5,9,0.9,0.6667,1,2,0,2,1,-0.282658546,0.893025316,1.217395286,-0.115098514,-1.472229466,0.374177336,0.738932276
Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,22,2,10,1,0.9167,0,0,1,2,2,0.674179241,0.680096592,1.923018461,-0.01321166,0.641992552,0.397578472,0.45843575
Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,22,12,2,0.2,0.0833,0,1,0,1,0,-2.009327151,0.471964726,-1.360618261,-0.15163398,-0.15163398,0.269816054,0.107221416
Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,22,1,10,1,1,0,0,1,2,2,0.616971158,0.810461153,2.401922307,-0.097439934,-0.931049336,0.342889801,0.662920401
Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,22,3,10,1,0.8333,0,0,1,2,2,0.212672713,0.786194723,1.459600898,-0.127666989,-1.930899334,0.216421972,0.724845907
Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,22,4,9,0.9,0.75,1,2,0,2,1,0.613651739,1.009109157,1.923018461,-0.129486378,0.276070362,0.284928866,0.960641108
Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,22,10,4,0.4,0.25,0,1,0,1,0,-0.238170824,0.575839612,0.417028828,-0.424056271,-1.298704424,0.073369565,0.563475632
Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,23,13,2,0.1818,0.0769,0,1,0,1,0,-0.928413303,0.412024508,-0.377299627,-0.012250649,-0.012250649,0.198008202,0.008662517
Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,23,8,7,0.6364,0.4615,0,1,0,2,1,-0.44125649,0.597794296,0.280361588,-0.037494334,0.239587974,0.199740345,0.463659171
Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,23,6,9,0.8182,0.6154,0,1,0,2,1,-0.293088089,0.814180343,0.763386285,-0.189930759,-1.36004911,0.190169776,0.765335652
Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,23,7,8,0.7273,0.5385,0,1,0,2,1,-0.691018365,0.409078966,0.278592633,-0.019209463,-0.258867006,0.174786375,0.1875663
Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,23,3,11,1,0.8462,0,0,1,2,1,0.201918957,0.925207208,1.691908705,-0.084868811,0.008198099,0.293727896,0.843517167
Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,23,1,11,1,1,0,0,1,2,1,0.93705067,0.744952297,1.930117124,-0.077766438,-0.750982333,0.250599128,0.647051013
Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,23,9,6,0.5455,0.3846,0,1,0,2,1,-0.699300359,0.503710314,0.278592633,-0.108475936,-0.970206389,0.061577935,0.491433784
Rick Perry,Emma Slater,Politician,Texas,United States,66,23,12,3,0.2727,0.1538,0,1,0,1,0,-1.416756203,0.502799727,-0.934538627,0.113136392,0.226272783,0.287153928,0.156723429
